Date,Title,Artist,Peak_Position,Last_Position,Weeks_on_Chart,Rank_in_Chart,New_on_Chart
2014-11-12,Boom Clap,Charli XCX,8,24,22,36,False
2014-11-12,Burnin' It Down,Jason Aldean,12,26,15,37,False
2014-11-12,Anaconda,Nicki Minaj,2,23,13,38,False
2014-11-12,All Of Me,John Legend,1,32,56,39,False
2014-11-12,Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,12,31,27,40,False
2014-11-12,Fancy,Iggy Azalea Featuring Charli XCX,1,39,35,41,False
2014-11-12,Happy,Pharrell Williams,1,40,44,42,False
2014-11-12,Hold You Down,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",43,50,9,43,False
2014-11-12,0 To 100 / The Catch Up,Drake,35,41,15,44,False
2014-11-12,Latch,Disclosure Featuring Sam Smith,7,43,33,45,False
2014-11-12,Neon Light,Blake Shelton,43,47,11,46,False
2014-11-12,About The Money,T.I. Featuring Young Thug,42,42,13,47,False
2014-11-12,Riptide,Vance Joy,47,49,19,48,False
2014-11-12,"Touchin, Lovin",Trey Songz Featuring Nicki Minaj,49,55,9,49,False
2014-11-12,i,Kendrick Lamar,39,53,6,50,False
2014-11-12,Stolen Dance,Milky Chance,51,54,15,51,False
2014-11-12,Dirt,Florida Georgia Line,11,45,17,52,False
2014-11-12,I Bet My Life,Imagine Dragons,53,0,0,53,True
2014-11-12,Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",54,0,0,54,True
2014-11-12,Something In The Water,Carrie Underwood,24,58,5,55,False
2014-11-12,No Flex Zone,Rae Sremmurd,36,52,14,56,False
2014-11-12,Somewhere In My Car,Keith Urban,57,61,10,57,False
2014-11-12,Sunshine & Whiskey,Frankie Ballard,57,57,17,58,False
2014-11-12,Girl In A Country Song,Maddie & Tae,59,60,13,59,False
2014-11-12,Style,Taylor Swift,60,0,0,60,True
2014-11-12,Day Drinking,Little Big Town,59,59,15,61,False
2014-11-12,Beg For It,Iggy Azalea Featuring M0,62,92,2,62,False
2014-11-12,L.A.LOVE (la la),Fergie,63,63,4,63,False
2014-11-12,Try Me,DeJ Loaf,64,67,2,64,False
2014-11-12,Amnesia,5 Seconds Of Summer,16,51,18,65,False
2014-11-12,Shotgun Rider,Tim McGraw,65,65,5,66,False
2014-11-12,This Is How We Do,Katy Perry,24,62,14,67,False
2014-11-12,No Mediocre,T.I. Featuring Iggy Azalea,33,56,20,68,False
2014-11-12,Welcome To New York,Taylor Swift,48,48,2,69,False
2014-11-12,Lips Are Movin,Meghan Trainor,70,93,2,70,False
2014-11-12,I Won't Let You Down,OK Go,71,0,0,71,True
2014-11-12,Baby Don't Lie,Gwen Stefani,46,46,2,72,False
2014-11-12,Heroes (We Could Be),Alesso Featuring Tove Lo,72,72,5,73,False
2014-11-12,Roller Coaster,Luke Bryan,43,64,16,74,False
2014-11-12,Ghost,Ella Henderson,75,0,0,75,True
2014-11-12,Wildest Dreams,Taylor Swift,76,0,0,76,True
2014-11-12,Perfect Storm,Brad Paisley,76,76,4,77,False
2014-11-12,Secrets,Mary Lambert,66,66,9,78,False
2014-11-12,Try,Colbie Caillat,55,71,11,79,False
2014-11-12,Bad Blood,Taylor Swift Featuring Kendrick Lamar,80,0,0,80,True
2014-11-12,In Your Arms,Nico & Vinz,74,74,3,81,False
2014-11-12,Superheroes,The Script,73,73,7,82,False
2014-11-12,Look At You,Big & Rich,78,78,9,83,False
2014-11-12,Thinking Out Loud,Ed Sheeran,69,75,4,84,False
2014-11-12,American Kids,Kenny Chesney,23,69,20,85,False
2014-11-12,No Love,August Alsina,73,91,7,86,False
2014-11-12,Body Language,Kid Ink Featuring Usher & Tinashe,87,88,4,87,False
2014-11-12,Talladega,Eric Church,88,90,2,88,False
2014-11-12,Close Your Eyes,Parmalee,81,81,6,89,False
2014-11-12,Handsome And Wealthy,Migos,79,79,6,90,False
2014-11-12,Drinking Class,Lee Brice,85,85,3,91,False
2014-11-12,Feelin' It,Scotty McCreery,89,89,6,92,False
2014-11-12,You And Your Friends,Wiz Khalifa Featuring Snoop Dogg & Ty Dolla $ign,82,82,7,93,False
2014-11-12,Dangerous,David Guetta Featuring Sam Martin,94,96,2,94,False
2014-11-12,Sun Daze,Florida Georgia Line,83,0,2,95,False
2014-11-12,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,84,84,2,96,False
2014-11-12,God Made Girls,RaeLynn,97,98,2,97,False
2014-11-12,Hope You Get Lonely Tonight,Cole Swindell,50,87,20,98,False
2014-11-12,Often,The Weeknd,95,95,3,99,False
2014-11-19,Shake It Off,Taylor Swift,1,1,12,1,False
2014-11-19,All About That Bass,Meghan Trainor,1,2,18,2,False
2014-11-19,Animals,Maroon 5,3,4,12,3,False
2014-11-19,Habits (Stay High),Tove Lo,3,3,24,4,False
2014-11-19,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",3,5,15,5,False
2014-11-19,Hot Boy,Bobby Shmurda,6,8,15,6,False
2014-11-19,Love Me Harder,Ariana Grande & The Weeknd,7,24,5,7,False
2014-11-19,Take Me To Church,Hozier,8,10,13,8,False
2014-11-19,Black Widow,Iggy Azalea Featuring Rita Ora,3,6,19,9,False
2014-11-19,Don't Tell 'Em,Jeremih Featuring YG,6,7,20,10,False
2014-11-19,I'm Not The Only One,Sam Smith,11,12,10,11,False
2014-11-19,Don't,Ed Sheeran,9,9,22,12,False
2014-11-19,Blank Space,Taylor Swift,13,18,2,13,False
2014-11-19,Trumpets,Jason Derulo,14,14,24,14,False
2014-11-19,I Don't F**k With You,Big Sean Featuring E-40,15,26,7,15,False
2014-11-19,Stay With Me,Sam Smith,2,11,31,16,False
2014-11-19,Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,16,16,17,17,False
2014-11-19,Rather Be,Clean Bandit Featuring Jess Glynne,10,15,22,18,False
2014-11-19,Chandelier,Sia,8,13,27,19,False
2014-11-19,Blame,Calvin Harris Featuring John Newman,19,19,9,20,False
2014-11-19,No Type,Rae Sremmurd,21,25,7,21,False
2014-11-19,Waves,Mr. Probz,22,22,12,22,False
2014-11-19,Jealous,Nick Jonas,23,28,9,23,False
2014-11-19,Cool Kids,Echosmith,13,17,18,24,False
2014-11-19,The Heart Wants What It Wants,Selena Gomez,25,0,0,25,True
2014-11-19,Tuesday,I LOVE MAKONNEN Featuring Drake,20,20,7,26,False
2014-11-19,Rude,MAGIC!,1,21,29,27,False
2014-11-19,Something In The Water,Carrie Underwood,24,55,6,28,False
2014-11-19,New Flame,Chris Brown Featuring Usher & Rick Ross,27,27,17,29,False
2014-11-19,Centuries,Fall Out Boy,22,33,9,30,False
2014-11-19,Break Free,Ariana Grande Featuring Zedd,4,29,19,31,False
2014-11-19,Steal My Girl,One Direction,13,34,6,32,False
2014-11-19,Anaconda,Nicki Minaj,2,38,14,33,False
2014-11-19,All Of Me,John Legend,1,39,57,34,False
2014-11-19,Burnin' It Down,Jason Aldean,12,37,16,35,False
2014-11-19,Am I Wrong,Nico & Vinz,4,31,30,36,False
2014-11-19,Boom Clap,Charli XCX,8,36,23,37,False
2014-11-19,Leave The Night On,Sam Hunt,30,30,20,38,False
2014-11-19,Maps,Maroon 5,6,32,21,39,False
2014-11-19,Day Drinking,Little Big Town,40,61,16,40,False
2014-11-19,Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,12,40,28,41,False
2014-11-19,Hold You Down,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",42,43,10,42,False
2014-11-19,Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",43,54,2,43,False
2014-11-19,Fancy,Iggy Azalea Featuring Charli XCX,1,41,36,44,False
2014-11-19,Happy,Pharrell Williams,1,42,45,45,False
2014-11-19,Riptide,Vance Joy,46,48,20,46,False
2014-11-19,Neon Light,Blake Shelton,43,46,12,47,False
2014-11-19,i,Kendrick Lamar,39,50,7,48,False
2014-11-19,Somewhere In My Car,Keith Urban,49,57,11,49,False
2014-11-19,Lips Are Movin,Meghan Trainor,50,70,3,50,False
2014-11-19,"Touchin, Lovin",Trey Songz Featuring Nicki Minaj,49,49,10,51,False
2014-11-19,0 To 100 / The Catch Up,Drake,35,44,16,52,False
2014-11-19,Try Me,DeJ Loaf,53,64,3,53,False
2014-11-19,Shotgun Rider,Tim McGraw,54,66,6,54,False
2014-11-19,About The Money,T.I. Featuring Young Thug,42,47,14,55,False
2014-11-19,Fireball,Pitbull Featuring John Ryan,23,23,14,56,False
2014-11-19,Stolen Dance,Milky Chance,51,51,16,57,False
2014-11-19,Girl In A Country Song,Maddie & Tae,58,59,14,58,False
2014-11-19,Dirt,Florida Georgia Line,11,52,18,59,False
2014-11-19,Beg For It,Iggy Azalea Featuring M0,60,62,3,60,False
2014-11-19,No Flex Zone,Rae Sremmurd,36,56,15,61,False
2014-11-19,Sunshine & Whiskey,Frankie Ballard,57,58,18,62,False
2014-11-19,L.A.LOVE (la la),Fergie,63,63,5,63,False
2014-11-19,Heroes (We Could Be),Alesso Featuring Tove Lo,64,73,6,64,False
2014-11-19,Perfect Storm,Brad Paisley,65,77,5,65,False
2014-11-19,Roller Coaster,Luke Bryan,43,74,17,66,False
2014-11-19,Amnesia,5 Seconds Of Summer,16,65,19,67,False
2014-11-19,Thinking Out Loud,Ed Sheeran,68,84,5,68,False
2014-11-19,Talladega,Eric Church,69,88,3,69,False
2014-11-19,Try,Colbie Caillat,55,79,12,70,False
2014-11-19,No Love,August Alsina,71,86,8,71,False
2014-11-19,In Your Arms,Nico & Vinz,72,81,4,72,False
2014-11-19,This Is How We Do,Katy Perry,24,67,15,73,False
2014-11-19,Baby Don't Lie,Gwen Stefani,46,72,3,74,False
2014-11-19,Ghost,Ella Henderson,75,75,2,75,False
2014-11-19,Look At You,Big & Rich,76,83,10,76,False
2014-11-19,Ready To Run,One Direction,77,0,0,77,True
2014-11-19,Sun Daze,Florida Georgia Line,78,95,3,78,False
2014-11-19,Dangerous,David Guetta Featuring Sam Martin,79,94,3,79,False
2014-11-19,Body Language,Kid Ink Featuring Usher & Tinashe,80,87,5,80,False
2014-11-19,Close Your Eyes,Parmalee,81,89,7,81,False
2014-11-19,Superheroes,The Script,73,82,8,82,False
2014-11-19,Drinking Class,Lee Brice,83,91,4,83,False
2014-11-19,Feelin' It,Scotty McCreery,84,92,7,84,False
2014-11-19,God Made Girls,RaeLynn,85,97,3,85,False
2014-11-19,Often,The Weeknd,86,99,4,86,False
2014-11-19,You And Your Friends,Wiz Khalifa Featuring Snoop Dogg & Ty Dolla $ign,82,93,8,87,False
2014-11-19,Handsome And Wealthy,Migos,79,90,7,88,False
2014-11-19,I Bet My Life,Imagine Dragons,53,53,2,89,False
2014-11-19,Til It's Gone,Kenny Chesney,90,100,2,90,False
2014-11-19,Secrets,Mary Lambert,66,78,10,91,False
2014-11-19,Something Big,Shawn Mendes,92,0,0,92,True
2014-11-19,Made Me,Snootie Wild Featuring K Camp,93,0,2,93,False
2014-11-19,Bobby Bitch,Bobby Shmurda,94,0,2,94,False
2014-11-19,Mean To Me,Brett Eldredge,95,0,0,95,True
2014-11-19,Dear Future Husband,Meghan Trainor,93,0,4,96,False
2014-11-19,Homegrown Honey,Darius Rucker,97,0,0,97,True
2014-11-19,Shut Up And Dance,WALK THE MOON,98,0,0,98,True
2014-11-19,Outside,Calvin Harris Featuring Ellie Goulding,68,0,2,99,False
2014-11-26,Blank Space,Taylor Swift,1,13,3,1,False
2014-11-26,All About That Bass,Meghan Trainor,1,2,19,2,False
2014-11-26,Shake It Off,Taylor Swift,1,1,13,3,False
2014-11-26,Animals,Maroon 5,3,3,13,4,False
2014-11-26,Habits (Stay High),Tove Lo,3,4,25,5,False
2014-11-26,Take Me To Church,Hozier,6,8,14,6,False
2014-11-26,Hot Boy,Bobby Shmurda,6,6,16,7,False
2014-11-26,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",3,5,16,8,False
2014-11-26,I'm Not The Only One,Sam Smith,9,11,11,9,False
2014-11-26,Jealous,Nick Jonas,10,23,10,10,False
2014-11-26,Don't,Ed Sheeran,9,12,23,11,False
2014-11-26,Tuesday,I LOVE MAKONNEN Featuring Drake,12,26,8,12,False
2014-11-26,Love Me Harder,Ariana Grande & The Weeknd,7,7,6,13,False
2014-11-26,I Don't F**k With You,Big Sean Featuring E-40,14,15,8,14,False
2014-11-26,Don't Tell 'Em,Jeremih Featuring YG,6,10,21,15,False
2014-11-26,Black Widow,Iggy Azalea Featuring Rita Ora,3,9,20,16,False
2014-11-26,No Type,Rae Sremmurd,17,21,8,17,False
2014-11-26,Trumpets,Jason Derulo,14,14,25,18,False
2014-11-26,Waves,Mr. Probz,19,22,13,19,False
2014-11-26,Stay With Me,Sam Smith,2,16,32,20,False
2014-11-26,Blame,Calvin Harris Featuring John Newman,19,20,10,21,False
2014-11-26,Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,16,17,18,22,False
2014-11-26,Rather Be,Clean Bandit Featuring Jess Glynne,10,18,23,23,False
2014-11-26,Cool Kids,Echosmith,13,24,19,24,False
2014-11-26,Chandelier,Sia,8,19,28,25,False
2014-11-26,The Heart Wants What It Wants,Selena Gomez,25,25,2,26,False
2014-11-26,Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",27,43,3,27,False
2014-11-26,Rude,MAGIC!,1,27,30,28,False
2014-11-26,Centuries,Fall Out Boy,22,30,10,29,False
2014-11-26,New Flame,Chris Brown Featuring Usher & Rick Ross,27,29,18,30,False
2014-11-26,Break Free,Ariana Grande Featuring Zedd,4,31,20,31,False
2014-11-26,Riptide,Vance Joy,32,46,21,32,False
2014-11-26,Steal My Girl,One Direction,13,32,7,33,False
2014-11-26,Anaconda,Nicki Minaj,2,33,15,34,False
2014-11-26,Something In The Water,Carrie Underwood,24,28,7,35,False
2014-11-26,All Of Me,John Legend,1,34,58,36,False
2014-11-26,Happy,Pharrell Williams,1,45,46,37,False
2014-11-26,Lips Are Movin,Meghan Trainor,38,50,4,38,False
2014-11-26,Hold You Down,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",39,42,11,39,False
2014-11-26,Am I Wrong,Nico & Vinz,4,36,31,40,False
2014-11-26,L.A.LOVE (la la),Fergie,41,63,6,41,False
2014-11-26,Maps,Maroon 5,6,39,22,42,False
2014-11-26,"Touchin, Lovin",Trey Songz Featuring Nicki Minaj,43,51,11,43,False
2014-11-26,Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,12,41,29,44,False
2014-11-26,Fancy,Iggy Azalea Featuring Charli XCX,1,44,37,45,False
2014-11-26,Try Me,DeJ Loaf,46,53,4,46,False
2014-11-26,Boom Clap,Charli XCX,8,37,24,47,False
2014-11-26,Leave The Night On,Sam Hunt,30,38,21,48,False
2014-11-26,Beg For It,Iggy Azalea Featuring M0,49,60,4,49,False
2014-11-26,Stolen Dance,Milky Chance,50,57,17,50,False
2014-11-26,About The Money,T.I. Featuring Young Thug,42,55,15,51,False
2014-11-26,Somewhere In My Car,Keith Urban,49,49,12,52,False
2014-11-26,0 To 100 / The Catch Up,Drake,35,52,17,53,False
2014-11-26,Shotgun Rider,Tim McGraw,54,54,7,54,False
2014-11-26,Day Drinking,Little Big Town,40,40,17,55,False
2014-11-26,Girl In A Country Song,Maddie & Tae,56,58,15,56,False
2014-11-26,Neon Light,Blake Shelton,43,47,13,57,False
2014-11-26,No Flex Zone,Rae Sremmurd,36,61,16,58,False
2014-11-26,i,Kendrick Lamar,39,48,8,59,False
2014-11-26,Sunshine & Whiskey,Frankie Ballard,57,62,19,60,False
2014-11-26,Heroes (We Could Be),Alesso Featuring Tove Lo,61,64,7,61,False
2014-11-26,Thinking Out Loud,Ed Sheeran,62,68,6,62,False
2014-11-26,Burnin' It Down,Jason Aldean,12,35,17,63,False
2014-11-26,Fireball,Pitbull Featuring John Ryan,23,56,15,64,False
2014-11-26,Uptown Funk!,Mark Ronson Featuring Bruno Mars,65,0,0,65,True
2014-11-26,Try,Colbie Caillat,55,70,13,66,False
2014-11-26,Dirt,Florida Georgia Line,11,59,19,67,False
2014-11-26,Perfect Storm,Brad Paisley,65,65,6,68,False
2014-11-26,No Love,August Alsina,69,71,9,69,False
2014-11-26,Talladega,Eric Church,69,69,4,70,False
2014-11-26,Dangerous,David Guetta Featuring Sam Martin,71,79,4,71,False
2014-11-26,Amnesia,5 Seconds Of Summer,16,67,20,72,False
2014-11-26,Look At You,Big & Rich,73,76,11,73,False
2014-11-26,In Your Arms,Nico & Vinz,72,72,5,74,False
2014-11-26,Sun Daze,Florida Georgia Line,75,78,4,75,False
2014-11-26,Baby Don't Lie,Gwen Stefani,46,74,4,76,False
2014-11-26,Close Your Eyes,Parmalee,77,81,8,77,False
2014-11-26,Body Language,Kid Ink Featuring Usher & Tinashe,78,80,6,78,False
2014-11-26,This Is How We Do,Katy Perry,24,73,16,79,False
2014-11-26,Drinking Class,Lee Brice,80,83,5,80,False
2014-11-26,Roller Coaster,Luke Bryan,43,66,18,81,False
2014-11-26,Yellow Flicker Beat,Lorde,74,0,2,82,False
2014-11-26,Til It's Gone,Kenny Chesney,83,90,3,83,False
2014-11-26,Feelin' It,Scotty McCreery,84,84,8,84,False
2014-11-26,God Made Girls,RaeLynn,85,85,4,85,False
2014-11-26,Often,The Weeknd,86,86,5,86,False
2014-11-26,18,One Direction,87,0,0,87,True
2014-11-26,Where Do Broken Hearts Go,One Direction,88,0,0,88,True
2014-11-26,Outside,Calvin Harris Featuring Ellie Goulding,68,99,3,89,False
2014-11-26,Handsome And Wealthy,Migos,79,88,8,90,False
2014-11-26,You And Your Friends,Wiz Khalifa Featuring Snoop Dogg & Ty Dolla $ign,82,87,9,91,False
2014-11-26,Bobby Bitch,Bobby Shmurda,92,94,3,92,False
2014-11-26,Superheroes,The Script,73,82,9,93,False
2014-11-26,Ghost,Ella Henderson,75,75,3,94,False
2014-11-26,Mean To Me,Brett Eldredge,95,95,2,95,False
2014-11-26,Made Me,Snootie Wild Featuring K Camp,93,93,3,96,False
2014-11-26,Homegrown Honey,Darius Rucker,97,97,2,97,False
2014-11-26,Shut Up And Dance,WALK THE MOON,98,98,2,98,False
2014-11-26,Make Me Wanna,Thomas Rhett,99,0,0,99,True
2014-12-03,Blank Space,Taylor Swift,1,1,4,1,False
2014-12-03,All About That Bass,Meghan Trainor,1,2,20,2,False
2014-12-03,Take Me To Church,Hozier,3,6,15,3,False
2014-12-03,Animals,Maroon 5,3,4,14,4,False
2014-12-03,Shake It Off,Taylor Swift,1,3,14,5,False
2014-12-03,Habits (Stay High),Tove Lo,3,5,26,6,False
2014-12-03,I'm Not The Only One,Sam Smith,7,9,12,7,False
2014-12-03,Jealous,Nick Jonas,8,10,11,8,False
2014-12-03,Love Me Harder,Ariana Grande & The Weeknd,7,13,7,9,False
2014-12-03,Don't,Ed Sheeran,9,11,24,10,False
2014-12-03,I Don't F**k With You,Big Sean Featuring E-40,11,14,9,11,False
2014-12-03,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",3,8,17,12,False
2014-12-03,Tuesday,I LOVE MAKONNEN Featuring Drake,12,12,9,13,False
2014-12-03,Waves,Mr. Probz,14,19,14,14,False
2014-12-03,Hot Boy,Bobby Shmurda,6,7,17,15,False
2014-12-03,No Type,Rae Sremmurd,16,17,9,16,False
2014-12-03,Trumpets,Jason Derulo,14,18,26,17,False
2014-12-03,Uptown Funk!,Mark Ronson Featuring Bruno Mars,18,65,2,18,False
2014-12-03,Lips Are Movin,Meghan Trainor,19,38,5,19,False
2014-12-03,The Heart Wants What It Wants,Selena Gomez,20,26,3,20,False
2014-12-03,Blame,Calvin Harris Featuring John Newman,19,21,11,21,False
2014-12-03,Don't Tell 'Em,Jeremih Featuring YG,6,15,22,22,False
2014-12-03,Black Widow,Iggy Azalea Featuring Rita Ora,3,16,21,23,False
2014-12-03,Stay With Me,Sam Smith,2,20,33,24,False
2014-12-03,Centuries,Fall Out Boy,22,29,11,25,False
2014-12-03,"Mary, Did You Know?",Pentatonix,26,0,0,26,True
2014-12-03,Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,16,22,19,27,False
2014-12-03,Rather Be,Clean Bandit Featuring Jess Glynne,10,23,24,28,False
2014-12-03,Steal My Girl,One Direction,13,33,8,29,False
2014-12-03,Cool Kids,Echosmith,13,24,20,30,False
2014-12-03,Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",27,27,4,31,False
2014-12-03,Chandelier,Sia,8,25,29,32,False
2014-12-03,Rude,MAGIC!,1,28,31,33,False
2014-12-03,Riptide,Vance Joy,32,32,22,34,False
2014-12-03,Beg For It,Iggy Azalea Featuring M0,35,49,5,35,False
2014-12-03,L.A.LOVE (la la),Fergie,36,41,7,36,False
2014-12-03,New Flame,Chris Brown Featuring Usher & Rick Ross,27,30,19,37,False
2014-12-03,Something In The Water,Carrie Underwood,24,35,8,38,False
2014-12-03,Hold You Down,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",39,39,12,39,False
2014-12-03,Thinking Out Loud,Ed Sheeran,40,62,7,40,False
2014-12-03,Stolen Dance,Milky Chance,41,50,18,41,False
2014-12-03,Break Free,Ariana Grande Featuring Zedd,4,31,21,42,False
2014-12-03,All Of Me,John Legend,1,36,59,43,False
2014-12-03,"Touchin, Lovin",Trey Songz Featuring Nicki Minaj,43,43,12,44,False
2014-12-03,Shotgun Rider,Tim McGraw,45,54,8,45,False
2014-12-03,Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,12,44,30,46,False
2014-12-03,Try Me,DeJ Loaf,46,46,5,47,False
2014-12-03,Fancy,Iggy Azalea Featuring Charli XCX,1,45,38,48,False
2014-12-03,Boom Clap,Charli XCX,8,47,25,49,False
2014-12-03,Happy,Pharrell Williams,1,37,47,50,False
2014-12-03,Somewhere In My Car,Keith Urban,49,52,13,51,False
2014-12-03,Ghost,Ella Henderson,52,94,4,52,False
2014-12-03,Heroes (We Could Be),Alesso Featuring Tove Lo,53,61,8,53,False
2014-12-03,Anaconda,Nicki Minaj,2,34,16,54,False
2014-12-03,Night Changes,One Direction,55,0,0,55,True
2014-12-03,Girl In A Country Song,Maddie & Tae,56,56,16,56,False
2014-12-03,About The Money,T.I. Featuring Young Thug,42,51,16,57,False
2014-12-03,Day Drinking,Little Big Town,40,55,18,58,False
2014-12-03,0 To 100 / The Catch Up,Drake,35,53,18,59,False
2014-12-03,No Flex Zone,Rae Sremmurd,36,58,17,60,False
2014-12-03,Perfect Storm,Brad Paisley,61,68,7,61,False
2014-12-03,i,Kendrick Lamar,39,59,9,62,False
2014-12-03,Do They Know It's Christmas? (2014),Band Aid 30,63,0,0,63,True
2014-12-03,Neon Light,Blake Shelton,43,57,14,64,False
2014-12-03,Yellow Flicker Beat,Lorde,65,82,3,65,False
2014-12-03,Dangerous,David Guetta Featuring Sam Martin,66,71,5,66,False
2014-12-03,Sunshine & Whiskey,Frankie Ballard,57,60,20,67,False
2014-12-03,Fireball,Pitbull Featuring John Ryan,23,64,16,68,False
2014-12-03,Burnin' It Down,Jason Aldean,12,63,18,69,False
2014-12-03,Bed Of Lies,Nicki Minaj Featuring Skylar Grey,70,0,0,70,True
2014-12-03,Talladega,Eric Church,69,70,5,71,False
2014-12-03,I Bet My Life,Imagine Dragons,53,0,3,72,False
2014-12-03,Sun Daze,Florida Georgia Line,73,75,5,73,False
2014-12-03,Try,Colbie Caillat,55,66,14,74,False
2014-12-03,No Love,August Alsina,69,69,10,75,False
2014-12-03,Look At You,Big & Rich,73,73,12,76,False
2014-12-03,CoCo,O.T. Genasis,77,0,0,77,True
2014-12-03,Baby It's Cold Outside,Idina Menzel Duet With Michael Buble,78,0,0,78,True
2014-12-03,Dirt,Florida Georgia Line,11,67,20,79,False
2014-12-03,Close Your Eyes,Parmalee,77,77,9,80,False
2014-12-03,In Your Arms,Nico & Vinz,72,74,6,81,False
2014-12-03,Drinking Class,Lee Brice,80,80,6,82,False
2014-12-03,Baby Don't Lie,Gwen Stefani,46,76,5,83,False
2014-12-03,Often,The Weeknd,84,86,6,84,False
2014-12-03,Good Girls,5 Seconds Of Summer,34,0,2,85,False
2014-12-03,Til It's Gone,Kenny Chesney,83,83,4,86,False
2014-12-03,Feelin' It,Scotty McCreery,84,84,9,87,False
2014-12-03,God Made Girls,RaeLynn,85,85,5,88,False
2014-12-03,Body Language,Kid Ink Featuring Usher & Tinashe,78,78,7,89,False
2014-12-03,Burnin' Up,Jessie J Featuring 2 Chainz,86,0,2,90,False
2014-12-03,This Is How We Do,Katy Perry,24,79,17,91,False
2014-12-03,Take Me To Church,Matt McAndrew,92,0,0,92,True
2014-12-03,Roller Coaster,Luke Bryan,43,81,19,93,False
2014-12-03,Booty,Jennifer Lopez Featuring Iggy Azalea Or Pitbull,18,0,8,94,False
2014-12-03,I Don't Mind,Usher Featuring Juicy J,95,0,0,95,True
2014-12-03,Make Me Wanna,Thomas Rhett,96,99,2,96,False
2014-12-03,Mean To Me,Brett Eldredge,95,95,3,97,False
2014-12-03,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,84,0,3,98,False
2014-12-03,Stockholm Syndrome,One Direction,99,0,0,99,True
2014-12-10,Blank Space,Taylor Swift,1,1,5,1,False
2014-12-10,All About That Bass,Meghan Trainor,1,2,21,2,False
2014-12-10,Take Me To Church,Hozier,3,3,16,3,False
2014-12-10,Shake It Off,Taylor Swift,1,5,15,4,False
2014-12-10,Animals,Maroon 5,3,4,15,5,False
2014-12-10,The Heart Wants What It Wants,Selena Gomez,6,20,4,6,False
2014-12-10,I'm Not The Only One,Sam Smith,7,7,13,7,False
2014-12-10,Uptown Funk!,Mark Ronson Featuring Bruno Mars,8,18,3,8,False
2014-12-10,Habits (Stay High),Tove Lo,3,6,27,9,False
2014-12-10,Love Me Harder,Ariana Grande & The Weeknd,7,9,8,10,False
2014-12-10,Jealous,Nick Jonas,8,8,12,11,False
2014-12-10,The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,12,0,0,12,True
2014-12-10,Lips Are Movin,Meghan Trainor,13,19,6,13,False
2014-12-10,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",3,12,18,14,False
2014-12-10,I Don't F**k With You,Big Sean Featuring E-40,11,11,10,15,False
2014-12-10,Tuesday,I LOVE MAKONNEN Featuring Drake,12,13,10,16,False
2014-12-10,Don't,Ed Sheeran,9,10,25,17,False
2014-12-10,7/11,Beyonce,18,0,0,18,True
2014-12-10,Hot Boy,Bobby Shmurda,6,15,18,19,False
2014-12-10,Waves,Mr. Probz,14,14,15,20,False
2014-12-10,No Type,Rae Sremmurd,16,16,10,21,False
2014-12-10,Trumpets,Jason Derulo,14,17,27,22,False
2014-12-10,Blame,Calvin Harris Featuring John Newman,19,21,12,23,False
2014-12-10,Black Widow,Iggy Azalea Featuring Rita Ora,3,23,22,24,False
2014-12-10,Don't Tell 'Em,Jeremih Featuring YG,6,22,23,25,False
2014-12-10,Stay With Me,Sam Smith,2,24,34,26,False
2014-12-10,L.A.LOVE (la la),Fergie,27,36,8,27,False
2014-12-10,Centuries,Fall Out Boy,22,25,12,28,False
2014-12-10,Beg For It,Iggy Azalea Featuring M0,29,35,6,29,False
2014-12-10,Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,16,27,20,30,False
2014-12-10,Night Changes,One Direction,31,55,2,31,False
2014-12-10,Rather Be,Clean Bandit Featuring Jess Glynne,10,28,25,32,False
2014-12-10,Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",27,31,5,33,False
2014-12-10,Yellow Flicker Beat,Lorde,34,65,4,34,False
2014-12-10,Chandelier,Sia,8,32,30,35,False
